source,company,title,link,experience_years,education,salary,tech_stack,qualifications,preferred,responsibilities,benefits
사람인,(주)데이타솔루션,[중견기업/IT] 데이타솔루션 개발자 /데이터 엔지니어채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52351669,,,,,,,,
사람인,(주)데이타몬드,[데이터엔지니어] 백엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52744049,,,,,,,,
사람인,(주)케이비헬스케어,[KB금융그룹 계열] KB헬스케어데이터 엔지니어채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52741933,,,,,,,,
사람인,(주)아이겐드럭,AI 신약개발 플랫폼 백엔드/데이터 엔지니어모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52482910,,,,,,,,
사람인,(주)피비스,AWS / Snowflake데이터 엔지니어경력 개발자 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52772064,,,,,,,,
사람인,(주)한샘,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52578567,,,,,,,,
사람인,(주)한샘,㈜한샘(본사)데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52350094,,,,,,,,
사람인,쿠도커뮤니케이션(주),[쿠도커뮤니케이션] 솔루션사업부 데이터엔지니어 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52616355,,,,,,,,
사람인,디알씨티에스(주),삼성바이오에피스데이터 엔지니어인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52691467,,,,,,,,
사람인,(주)더블유컨셉코리아,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52674260,,,,,,,,
사람인,(주)올라핀테크,데이터 엔지니어채용(경력 8~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52753820,,,,,,,,
사람인,넛지헬스케어(주),[캐시워크] 데이터엔지니어 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52639073,,,,,,,,
사람인,(주)아이트럭,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52564121,,,,,,,,
사람인,(주)카카오모빌리티,[카카오모빌리티]데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52690731,,,,,,,,
사람인,(주)레진엔터테인먼트,[다우키움 계열사]데이터 엔지니어(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52746560,,,,,,,,
사람인,에이아이링고(주),[AI 법률번역 스타트업]데이터 엔지니어(Data Engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52660927,,,,,,,,
사람인,(주)빅링크에이아이,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52575838,,,,,,,,
사람인,(주)셀키에이아이,Data Engineer/데이터엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52631738,,,,,,,,
사람인,(주)플레이웍스,AI 및 라이브 기반 반려동물 양육 플랫폼 데이터엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52650529,,,,,,,,
사람인,(주)맨파워써치앤컨설팅,[외국계]데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52753100,,,,,,,,
사람인,(주)잘사글로벌,잘사글로벌 부분별 채용[AI&데이터엔지니어/마케터/상품기획],https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52677770,,,,,,,,
사람인,나이스지니데이타주식회사,NICE 지니데이타(주)데이터 엔지니어모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52510607,,,,,,,,
사람인,(주)에스비티글로벌,(주)에스비티글로벌 데이터엔지니어 및 DW 전문가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52563104,,,,,,,,
사람인,펑타이그레이터차이나(유)영업소,[PTKOREA]데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52675693,,,,,,,,
사람인,(주)퀸텟시스템즈,[정규직]데이터 엔지니어(3년 이상 경력자),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52569680,,,,,,,,
사람인,(주)그리드위즈,[그리드위즈]데이터 엔지니어경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52688197,,,,,,,,
사람인,(주)로이드케이,빅데이터 솔루션데이터 엔지니어(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52647842,,,,,,,,
사람인,(주)와이즈에이아이,(주)와이즈에이아이데이터 엔지니어를 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=52450583,,,,,,,,
